Borough,CouncilDist,Food_Scrap_Drop_Off_Site_Name,Latitude,Location,Longitude,NTAName,Notes,Object ID,Operation_Day_Hours,Open_Months,Hosted_By,Website,boroCD,ct2010,point,Precinct,BBL,BIN
New York,7,97th Street Greenmarket,40.794717,W 97th St and Amsterdam Ave,-73.969552,Upper West Side,"Not accepted: meat, bones, or dairy",85,Fridays 8:00AM - 12:30 PM,Year Round,GrowNYC,https://www.grownyc.org/greenmarket/manhattan/west-97,107,181,POINT (-73.969552000001 40.7947170000032),24,,
Queens,26,Moore-Jackson Cemetery/Garden,40.756149,"31-61 51st St, Woodside, NY 11377",-73.907915,Woodside,"Not accepted: meat, bones, or dairy",14,Saturdays 9:00AM - 12:00PM,Year Round,Members at Moore-Jackson Garden,https://www.facebook.com/MooreJacksonNYC/,401,,POINT (-73.907915000001 40.7561490000032),,,
Bronx,17,Synergi Urban Farm 2.0,40.82914,"1211 Hoe Ave, Bronx, NY 10459",-73.89114,Morrisania-Melrose,"Not accepted: meat, bones, or dairy. Please chop and freeze your scraps when possible. Be prepared to empty your food  scraps into a bin. Try and bring your scraps in a brown paper bag instead of plastic.",63,Saturdays 1:00PM - 3:00PM,Year Round,GreenFeen OrganiX,https://www.facebook.com/holisticsynergi/,203,,POINT (-73.8911400000009 40.8291400000032),,,
Kings,37,Cypress Hills Food Scrap Drop-off,40.682299,Fulton St. between Richmond and Logan Sts (in front of Cypress Hills Senior Center),-73.876748,Cypress Hills-City Line,"Not accepted: meat, bones, or dairy",160,"Fridays,10:00 AM - 1:00 PM",Year Round,GrowNYC,www.grownyc.org/compost,305,,POINT (-73.876748000001 40.6822990000032),,,
New York,7,Columbia Sunday Greenmarket,40.807638,116th St & Broadway,-73.963963,Morningside Heights,"No Meat, dairy, fish. No BPI Certified Products.",145,"Sundays, 8:00AM-12:00PM",Year Round,GrowNYC,https://www.grownyc.org/compost,109,,POINT (-73.963963000001 40.8076380000032),,,
Kings,37,Aberdeen Community Garden,40.6840598,"91 Aberdeen St, Brooklyn, 11207",-73.9050492,park-cemetery-etc-Brooklyn,No meat or BPI Products.,190,Sundays 2-5PM (March-Nov.)\ 1-4PM (Dec.-Feb.),Year Round (Seasonal hours),BK Rot,www.bkrot.org,304,,POINT (-73.905049200001 40.6840598000032),,,
New York,3,Hudson River Park Pier 66 at W 26 St,40.752222,Pier 66 at W 26 St,-74.008278,Hudson Yards-Chelsea-Flatiron-Union Square,"Not accepted: meat, bones, or dairy",58,Every day 7:00AM - 7:00PM,Year Round,Staff at Hudson River Park,https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,104,,POINT (-74.008278000001 40.7522220000032),,,
New York,4,St. Vartan Park,40.745061,St. Vartan Park  Near the 1st Ave. & E 36th St. entrance,-73.973126,Murray Hill-Kips Bay,"Visit bit.ly/StVartanCompost or email CompostStVartan@gmail.com to volunteer. Not accepted: meat, bones, or dairy",113,Saturdays 10 AM - 4 PM,Year Round,Alliance for Kips Bay with PS281 Green Team and PS116 PTA,bit.ly/StVartanCompost,106,,POINT (-73.973126000001 40.7450610000032),,,
Kings,39,WEATHER CLOSURE 1/30: Big Reuse Warehouse,40.672077,"1 12th Street, Brooklyn NY",-73.996401,Park Slope-Gowanus,"Not accepted: meat, bones, or dairy",158,Sundays 10 am - 3 pm,Year Round,NYC Compost Project Hosted by Big Reuse,bigreuse.org,306,,POINT (-73.9964010000009 40.6720770000032),,,
Kings,33,WEATHER CLOSURE 1/30: Transmitter Park Drop-Off,40.7296982,2 Greenpoint Ave and West Street,-73.9601997,Greenpoint,"No meat, dairy, fish. No BPI Plastic Products accepted.",141,"Sunday, 11:30AM-1:00PM",Year Round,North Brooklyn Compost Project,nbkcompost.org,301,,POINT (-73.960199700001 40.7296982000032),,,
Kings,33,Domino Park,40.714448,"15 River Street Brooklyn, NY 11249",-73.968049,North Side-South Side,"Accepting fruit, vegetables, Gound coffee, and bread. Currently not accepting fish & meat, citrus, compostable cutlery, sauces & oils.",9,"Mondays 10:00 AM-12:00 PM, Thursdays 6:00 PM-8:00 PM",Year Round,Staff at Domino Park,http://www.dominopark.com/,301,,POINT (-73.9680490000009 40.7144480000032),,,
Queens,22,Astoria Pug: Newtown,40.762667,"30-36 41st Street, Astoria, NY",-73.915111,Astoria,"Not accepted: meat, bones, or dairy",31,Fridays 10:00AM - 4:30PM,Year Round,Astoria Pug,https://www.instagram.com/astoriapug/?hl=en,401,149,POINT (-73.915111000001 40.7626670000032),114,4006810001,4011271
Bronx,11,Mediator's Composting Initiative,40.879849,"260 West 231 Street Bronx, NY 10463",-73.906856,Spuyten Duyvil-Kingsbridge,"Donation: 25 cents per pound. Drop off location is by Bx7, Bx10, BX1 bus stop.",26,Saturdays 10:00AM - 12:00PM,Year Round,The Earth Ministry of The Church of The Mediator,https://www.instagram.com/mediator_garden_and_composting/,208,,POINT (-73.9068560000009 40.8798490000032),,,
Kings,43,WEATHER CLOSURE 1/29: Bay Ridge Food Scrap Drop-off,40.6174,3rd Ave & 95th Street,-74.033703,Bay Ridge,"No Meat, Fish, and Dairy, or BPI-Certified Compostable Plastic Products.",192,Saturdays 8:00 AM 12:30 PM,Year Round,GrowNYC,grownyc.org/compost,310,,POINT (-74.033703000001 40.6174000000032),,,
Bronx,17,New Roots Community Farm,40.82135,"670 Grand Concourse, The Bronx, NY 10451",-73.92506,East Concourse-Concourse Village,"Not accepted: meat, bones, or dairy",81,Fridays 8:00AM - 12:00PM,Year Round,GrowNYC,grownyc.org/compost,204,,POINT (-73.925060000001 40.8213500000032),,,
Kings,48,Avenue U and East 16th Street,40.5988666,"Avenue U and East 16th Street, southeast corner",-73.9553874,Madison,"Not accepted: meat, bones, or dairy",177,Wednesdays 10 AM - 2 PM,Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,315,,POINT (-73.955387400001 40.5988666000032),,,
Kings,40,Q Gardens,40.649778,"58 E 18th St, Brooklyn, NY 11226",-73.963194,Flatbush,"Not accepted: meat, bones, dairy, or oil",54,Fridays + Saturdays all day; Sundays from dawn until 4:00PM,Year Round,Q Gardens,https://qgardenscf.com/places-to-drop-off-your-compost/,314,,POINT (-73.963194000001 40.6497780000032),,,
Queens,31,CLOSED FOR THE SEASON: Spring Thyme Farm,40.65914,224th Street 147th Avenue,-73.75745,Springfield Gardens South-Brookville,"No meat, fat, rice, grain, or pasta accepted.",136,Saturday 9:30am-2pm,April-October,St. Peter's Lutheran Church,themightystpeters.org,413,45,POINT (-73.7574500000009 40.6591400000032),114,4005290002,4467709
New York,3,Hudson River Park's 14th Street Park at 10th Ave.,40.742827,14th Street Park at southwest corner of 15th St. and 10th Ave,-74.0078384,Hudson Yards-Chelsea-Flatiron-Union Square,"Not accepted: meat, bones, or dairy",33,Every day 7:00 am - 7:00pm,Year Round,Staff at Hudson River Park,https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,104,,POINT (-74.007838400001 40.7428270000032),,,
New York,3,Christopher Park,40.733536,"West 4th Street b/w Christopher St and Grove St., west side of Christopher Park",-74.002663,West Village,"Not accepted: meat, bones, or dairy",65,Wednesdays 9:00AM - 2:00PM,Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,102,,POINT (-74.002663000001 40.7335360000032),,,
New York,8,Maggie's Magic Garden,40.7889577,"1574 Lexington Ave, New York, NY 10029",-73.9492012,East Harlem South,"Not accepted: meat, bones, or dairy. BPI Certified Products. Dog and cat feces.",165,24/7,Year Round,Maggie's Magic Garden,,111,,POINT (-73.949201200001 40.7889577000032),,,
New York,1,Battery Park City Authority Headquarters,40.7067584,75 Battery Place,-74.0171557,Battery Park City-Lower Manhattan,"Not accepted: cooked foods, bread, grains, meat, or dairy",109,24/7,Year Round,Battery Park City Authority,https://bpca.ny.gov/nature-and-sustainability/sustainability/,101,31704,POINT (-74.017155700001 40.7067584000032),1,1000167517,1087842
Kings,42,CLOSED FOR THE SEASON: UCC Youth Farm,40.66547,613 New Lots Avenue,-73.88668,East New York,"Not accepted: meat, bones, or dairy",121,24/7,June - November,East New York Farms,https://ucceny.org/enyf/,305,1124,POINT (-73.886680000001 40.6654700000032),75,3040890025,3090717
Queens,26,JH Scraps,40.750278,"35-20 69th Street, Jackson Heights, NY 11372",-73.89678,Jackson Heights,,5,"Saturdays, 11:00 AM-01:00 PM",Year Round,Volunteers at JH Scraps,https://www.jhbg.org/2020/07/28/jh-scraps-reopens,402,,POINT (-73.896780000001 40.7502780000032),,,
Bronx,13,CLOSED FOR THE SEASON: The Garden at Preston,40.8139813,"2780 Schurz Ave, The Bronx, NY 10465 (Intersection of Schurz Avenue and Huntington Avenue)",-73.8190803,Schuylerville-Throgs Neck-Edgewater Park,"Not accepted: meat, bones, or dairy",104,Tuesdays 4 PM - 7 PM,Year Round,Northeast Bronx Farmers Market Project,https://www.facebook.com/northeastbronxcommunityfarmersmarket/,210,,POINT (-73.8190803000009 40.8139813000032),,,
New York,2,Corlears Hook Park,40.712164,"397 FDR Dr, New York, NY 10002 (Southeast corner of Cherry Street and Jackson Street)",-73.980547,Lower East Side,"Not accepted: meat, bones, or dairy",168,Thursdays 9 AM - 2 PM,Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,103,,POINT (-73.980547000001 40.7121640000032),,,
Kings,37,Moffat Street Community Garden,40.6843646,"9 Moffat St, Brooklyn, NY 11207",-73.9107326,Bushwick South,"No meat, fish, dairy. No BPI-certified Products.",182,Saturdays 10:30 AM - 12:30 PM,Year Round,Moffat St Community Garden,,304,,POINT (-73.910732600001 40.6843646000032),,,
Kings,39,Carroll Gardens Greenmarket,40.679954,Smith St and 1st Pl,-73.99517,Carroll Gardens-Columbia Street-Red Hook,"Not accepted: meat, bones, or dairy",50,Sundays 8:00AM - 12:00PM,Year Round,GrowNYC,,306,,POINT (-73.995170000001 40.6799540000032),,,
Queens,22,Astoria Pug: Broadway,40.761472,"32-11 31st St, Queens, NY 11106",-73.925611,Astoria,"Not accepted: meat, bones, dairy, or oil",22,Saturdays 9:00AM - 3:00PM,Year Round,Astoria Pug,https://www.instagram.com/astoriapug/?hl=en,401,,POINT (-73.9256110000009 40.7614720000032),,,
Queens,34,WEATHER CLOSURE 1/29: Ridgewood Food Scrap Drop-off,40.7003,Myrtle Ave & Cypress Ave,-73.906675,Ridgewood,No meat or BPI- Certified Products.,153,"Saturdays, 9:30AM-1:30PM",Year Round,GrowNYC,https://www.grownyc.org/compost,405,,POINT (-73.906675000001 40.7003000000032),,,
Queens,28,CLOSED FOR THE SEASON: Paradise Garden,40.69056,"107-31 Inwood St, Queens, NY 11435",-73.80395,South Jamaica,"Not accepted: meat, bones, or dairy",94,Saturdays 9:30 AM - 2:00PM,Year Round,Paradise Garden,,412,,POINT (-73.803950000001 40.6905600000032),,,
New York,3,Hudson River Park's Pier 51 at Horatio St.,40.738228,Pier 51 at Horatio St. near playground,-74.0104549,West Village,"Not accepted: meat, bones, or dairy",37,Every day 7:00AM - 7:00PM,Year Round,Staff at Hudson River Park,https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,102,,POINT (-74.010454900001 40.7382280000032),,,
Bronx,15,CLOSED FOR THE SEASON: La Familia Verde Farmer's Market,40.846468,Tremont Ave between LaFontaine and Arthur Ave (Tremont Park),-73.894107,Claremont-Bathgate,"Not accepted: meat, bones, or dairy. Visit the Center Farm stand to drop off your food scraps.",69,Thursdays 8 AM - 2 PM,July- November 16 2021,Volunteers at La Familia Verde Farmers Market,http://www.lafamiliaverde.org/,206,,POINT (-73.894107000001 40.8464680000032),,,
Richmond,49,Venture House,40.634203,"1442 Castleton Avenue, 10302",-74.131071,Port Richmond,"Not accepted: meat, bones, or dairy",185,Fridays 10:30 AM - 2:30 PM,Year Round,Snug Harbor Youth,snug-harbor.org,501,207,POINT (-74.131071000001 40.6342030000032),121,5010300069,5106982
New York,9,145th St Food Scrap Drop-off,40.823692,145th St & Edgecombe Ave,-73.943764,Hamilton Heights,"No Meat, Fish, and Dairy. No BPI-Certified Compostable Plastic Products",200,"Thursdays, 7:30-12PM",Year Round,GrowNYC,grownyc.org/compost,110,,POINT (-73.943764000001 40.8236920000032),,,
Queens,26,45th Street Composters,40.746199,"41-12 45th Street (45th St & Skillman Ave, Queens, NY 11104)",-73.919118,Hunters Point-Sunnyside-West Maspeth,"Not accepted: meat, bones, or dairy",133,Sundays 10:30AM-1:00PM,Year Round,Volunteers at 45th Street Composters,https://linktr.ee/45thstreetcomposters,402,,POINT (-73.919118000001 40.7461990000032),,,
Queens,22,Astoria Pug: Most Precious Blood,40.75914,"32-23 36th St, Queens, NY 11106",-73.92146,Astoria,"Not accepted: meat, bones, dairy, or oil",89,24/7,Year Round,Astoria Pug,https://www.instagram.com/astoriapug/?hl=en,401,,POINT (-73.921460000001 40.7591400000032),,,
Kings,37,Wilson Ave Food Scrap Drop-off,40.688793,Wilson Ave & Moffat St (near L train),-73.904826,Bushwick South,"No meat, fish, dairy. No BPI Certified Products.",150,"Thursdays, 9AM-1PM",Year Round,GrowNYC,grownyc.org/compost,304,,POINT (-73.904826000001 40.6887930000032),,,
Kings,37,CLOSED FOR THE SEASON: Bushwick Grows! Community Garden,40.697523,"1474 Gates Ave, Brooklyn, NY 11237",-73.913913,Bushwick North,,1,"Saturdays, 10:00 AM-1:00 PM","Seasonal, May-November",Volunteers at Bushwick Grows!,https://www.riseboro.org,304,,POINT (-73.913913000001 40.6975230000032),,,
Bronx,11,CLOSED FOR THE SEASON: Van Cortlandt Park Alliance Farm Stand,40.884517,Orloff Avenue and Gale Place,-73.8898591,Van Cortlandt Village,"Remove all plastic, stickers and zip ties before dropping off food scraps. Not accepted: grains, dairy, or meat",126,Closed for the Season,Closed for the Season,Van Cortlandt Park Alliance,vancortlandt.org,208,281,POINT (-73.889859100001 40.8845170000032),50,,
New York,3,Hudson River Park Pier 46 at Charles St,40.734225,Pier 46 at Charles St,-74.010722,West Village,"Not accepted: meat, bones, or dairy",57,Every day 7:00AM - 7:00PM,Year Round,Staff at Hudson River Park,https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,102,75,POINT (-74.010722000001 40.7342250000032),6,,
Kings,48,Brighton Beach Avenue and Ocean Parkway,40.576146381447835,Southeast corner of Brighton Beach Avenue and Ocean Parkway (Same corner as Big Bazaar Supermarket),-73.96819460245472,Brighton Beach,,172,Wednesday 10:00 AM- 2:00 PM,Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,313,,POINT (-73.968194602001 40.5761463810032),,,
Bronx,14,Kingsbridge Heights Community Center:,40.877299,"3101 Kingsbridge Terrace, Bronx NY 10463",-73.900709,Van Cortlandt Village,"There will be a wheelbarrow/table in the upper garden for collection. Not accepted: meat, bones, dairy, or grains.",40,Wednesdays 12:00PM - 2:00PM,Year Round,Staff at Kingsbridge Heights Community Center,www.khcc-nyc.org,208,,POINT (-73.9007090000009 40.8772990000032),,,
New York,1,Bowling Green Greenmarket,40.7046367,"Broadway at Battery Place, New York, NY 10004",-74.0137794,Battery Park City-Lower Manhattan,Accepted: All organics except pet waste,62,Tuesdays 8:00AM - 11:00 AM,Year Round,NYC Compost Project Hosted by Earth Matter NY,,101,,POINT (-74.013779400001 40.7046367000032),,,
Kings,48,Brighton Beach Avenue at Coney Island Avenue,40.5780034,"South of Brighton Beach Avenue, between Coney Island Avenue and Brighton 11th Street",-73.9591672,Brighton Beach,"Not accepted: meat, bones, or dairy",178,Wednesdays 10 AM - 2 PM,Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,313,,POINT (-73.959167200001 40.5780034000032),,,
Richmond,49,WEATHER CLOSURE 1/28: West Brighton,40.636758,Alaska Street and Henderson Avenue,-74.119727,West New Brighton-New Brighton-St. George,,157,Fridays 4:00 PM - 5:30 PM,Year Round,Snug Harbor Youth,snug-harbor.org,501,13301,POINT (-74.119727000001 40.6367580000032),120,,
New York,1,Governors Island Soissons Ferry Landing,40.69281,Adjacent to Soissons Landing and Taco Vista,-74.0148306,park-cemetery-etc-Manhattan,Accepted: All organics except pet waste,18,When the island is open to the public (Check ferry schedule),Year Round,NYC Compost Project Hosted by Earth Matter NY,www.earthmatter.org,101,,POINT (-74.014830600001 40.6928100000032),,,
New York,5,Roosevelt Island Farmers Market,40.761833,"543 Main St, New York, NY 10044 (Good Shepherd Plaza)",-73.950139,Lenox Hill-Roosevelt Island,"Not accepted: meat, bones, and dairy",25,Saturdays 9:00AM - 2:00PM,Year Round,Haki Compost Collective,https://www.instagram.com/hakicompost/,108,,POINT (-73.950139000001 40.7618330000032),,,
